vin|year|make|model|trim|pricecategory|pricevariance|price|mileage|city|state|colorexterior|colorinterior|accidenthist|owner|usage
1FM5K7D8XEGA88767|2014|Ford|Explorer|XLT FWD|Excellent Price||9350|131465|Houston|TX|White|Gray|no| 1| personal
1HGCR2F87HA193749|2017|Honda|Accord|EX-L Sedan CVT|Excellent Price|$1285 off avg. list price|17277|34906|Arlington|VA|Black|Black|no| 1| personal
3C4PDDEG0KT745899|2019|Dodge|Journey|GT AWD|Great Price|$665 off avg. list price|17900|30186|La Follette|TN|Silver|Black|no| 1| personal
1FADP3F21EL343869|2014|Ford|Focus|SE Sedan|||6995|21800|Naugatuck|CT|Gray|Black|1| 2| personal
3FA6P0CD8KR171186|2019|Ford|Fusion|SEL FWD|Excellent Price||17861|10796|Waxahachie|TX|White|Gray|no| 1| personal
1FMCU03118KC64068|2008|Ford|Escape|XLT V6 Automatic FWD|||3500|147945|Omaha|NE|White|Gray|1| 4| personal
3N1CN7AP9KL805474|2019|Nissan|Versa|SV Sedan CVT|Excellent Price|$1201 off avg. list price|9499|40688|La Grange|GA|Black|Black|1| 1| personal
3FA6P0RU4KR241550|2019|Ford|Fusion|Hybrid Titanium FWD|Excellent Price|$990 off avg. list price|18995|22137|Kennesaw|GA|Black|Black|no| 1| personal
3FA6P0LU8KR204123|2019|Ford|Fusion|Hybrid SE FWD|Excellent Price|$613 off avg. list price|15138|32712|Maitland|FL|Blue|Black|no| 1| personal
1HGCT1B43HA000690|2017|Honda|Accord|LX-S with Honda Sensing Coupe CVT|Excellent Price|$1106 off avg. list price|13985|54961|Duluth|GA|White|Unknown|no| 1| fleet
KNDJP3A53K7691837|2019|Kia|Soul|+ Automatic|Excellent Price|$676 off avg. list price|14495|20445|Joplin|MO|White|Black|no| 1| personal
2T1BURHE1HC830926|2017|Toyota|Corolla|SE CVT|Excellent Price|$1438 off avg. list price|10000|109325|Jasper|AL|Silver|Gray|no| 2| personal
1N4BL4EV9KC157061|2019|Nissan|Altima|SL FWD|Excellent Price|$1008 off avg. list price|18498|32974|Olympia|WA|Silver|Black|no| 1| personal
3FA6P0LU2KR121772|2019|Ford|Fusion|Hybrid SE FWD|Excellent Price|$644 off avg. list price|15490|37948|Hampton|VA|Black|Black|no| 1| personal
3FA6P0MU1KR120174|2019|Ford|Fusion|Hybrid SEL FWD|Excellent Price|$1132 off avg. list price|15992|42661|Savannah|GA|White|Black|no| 1| personal
3N1AB7AP4KL613136|2019|Nissan|Sentra|SV CVT|Excellent Price|$952 off avg. list price|11999|32564|Victorville|CA|Gray|Black|no| 1| personal
WP0CB29892U661811|2002|Porsche|Boxster|S Manual|Excellent Price|$3226 off avg. list price|16995|42631|Wichita|KS|Silver|Unknown|no| 2| fleet
5GZER23D49J130388|2009|Saturn|Outlook|FWD 4dr XR|||3998|138142|Newark|CA|Black|Black|no| 4| personal
1FTNE2EL4BDB09787|2011|Ford|Econoline Cargo Van|E-250 Commercial|||10995|57502|National City|CA|White|Gray|no| 2| personal
1FMCU0F74HUC10297|2017|Ford|Escape|S FWD|Excellent Price||10450|108925|Abilene|TX|White|Black|no| 1| personal
3KPC24A39KE040515|2019|Hyundai|Accent|SE Automatic|Excellent Price|$1074 off avg. list price|8991|33213|Hollywood|FL|Gray|Black|no| 1| fleet
3N1AB7AP0JY301364|2018|Nissan|Sentra|S CVT|Excellent Price|$938 off avg. list price|10650|30832|Chantilly|VA|Black|Black|1| 1| personal
JTEBU5JR9K5645836|2019|Toyota|4Runner|SR5 4WD|Excellent Price|$1864 off avg. list price|29700|29678|Pikeville|KY|Silver|Black|no| 1| personal
19XFC2F57HE074910|2017|Honda|Civic|LX Sedan CVT|Excellent Price|$939 off avg. list price|13285|33687|Sanford|FL|White|Beige|no| 1| personal
5YFEPRAE4LP068067|2020|Toyota|Corolla|LE CVT|Great Price||16757|16475|Houston|TX|White|Gray|no| 1| personal
5FNRL38777B018105|2007|Honda|Odyssey|EX-L with Rear Entertainment System|||2987|243143|Beavercreek|OH|Silver|Gray|no| 4| personal
1FMCU9GX6EUA05403|2014|Ford|Escape|SE 4WD|Excellent Price|$1287 off avg. list price|9000|92038|Waukee|IA|Silver|Black|no| 2| personal
1VWCN7A30EC073694|2014|Volkswagen|Passat|TDI SEL Premium Sedan DSG|Excellent Price|$1460 off avg. list price|11075|56772|Huntersville|NC|Silver|Beige|no| 1| personal
1VWCN7A31EC040686|2014|Volkswagen|Passat|TDI SEL Premium Sedan DSG|Excellent Price|$1967 off avg. list price|10900|67814|Lakewood|WA|Silver|Gray|no| 1| personal
4T1BD1FK6HU211621|2017|Toyota|Camry|Hybrid XLE|Excellent Price|$2489 off avg. list price|12999|147633|Smyrna|GA|Black|Black|no| 1| fleet
1GAZGPFG3K1170116|2019|Chevrolet|Express Passenger|3500 LT LWB|Excellent Price|$1515 off avg. list price|17980|64545|Fort Myers|FL|White|Gray|no| 1| personal
2C4RDGCGXKR656342|2019|Dodge|Grand Caravan|SXT|Excellent Price|$799 off avg. list price|15400|47081|Hazard|KY|Silver|Black|no| 1| fleet
2HGFC2F52HH526266|2017|Honda|Civic|LX Sedan CVT|Excellent Price|$811 off avg. list price|14990|51964|Tacoma|WA|Silver|Unknown|no| 2| fleet
4T1B11HK9KU718171|2019|Toyota|Camry|LE Automatic|Excellent Price|$1101 off avg. list price|16998|28628|Pinellas Park|FL|White|Black|no| 1| personal
1GKDT13S332273958|2003|GMC|Envoy|SLT 4WD|Excellent Price|$943 off avg. list price|4400|168616|Tigard|OR|Gray|Gray|no| 5| personal
3FA6P0HD8HR372202|2017|Ford|Fusion|SE FWD|Excellent Price|$2041 off avg. list price|14995|29731|Philadelphia|PA|Black|Black|no| 1| fleet
1HGCR2F32HA132393|2017|Honda|Accord|LX Sedan CVT|Great Price|$663 off avg. list price|16399|33876|Sea Girt|NJ|Black|Gray|no| 1| personal
WAUF2AFC8EN144513|2014|Audi|S6|Prestige Sedan|Excellent Price|$4376 off avg. list price|27997|52300|Knoxville|TN|Silver|Black|no| 3| personal
2HGFG3B59CH549357|2012|Honda|Civic|LX Coupe Automatic|Excellent Price||5800|127244|Houston|TX|Black|Gray|no| 2| personal
JTHBB1BA7A2002749|2010|Lexus|HS|HS 250h|Excellent Price|$1304 off avg. list price|6500|160006|Pensacola|FL|Blue|Unknown|1| 3| fleet
19UUA56683A093969|2003|Acura|TL|3.2L|||4929|102833|Katy|TX|Black|Beige|no| 2| personal
3FA6P0LU6KR205321|2019|Ford|Fusion|Hybrid SE FWD|Excellent Price|$1258 off avg. list price|15382|25525|Livermore|CA|Gray|Gray|no| 1| personal
