colorexterior,colorinterior,accidenthist,owner,usage,price,age,odo,ReliabilityRank,CostOfLivingRank,PercentSales,AvgDaysToTurn,bodytype,ReviewScore,AvgMPG,LuxurySportsOrHybrid,drivetrain
WHITE,OTHER,Y,1,PERSONAL,15.349,1,18.668,10.0,8,13.832688602095642,71.61538461538461,SEDAN,8.2,26.0,N,FWD
WHITE,BEIGE,N,1,PERSONAL,13.391,1,34.212,13.0,11,4.156328806440607,79.07692307692308,SEDAN,8.1,31.0,N,FWD
SILVER,BLACK,N,1,PERSONAL,15.5,0,7.209,5.0,14,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
RED,BLACK,N,1,PERSONAL,9.995,1,17.4,16.0,39,6.28802759768661,76.23076923076923,SEDAN,6.9,35.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,21.5,3,26.917,22.0,49,2.208680273976825,57.92307692307692,SEDAN,7.9,28.5,Y,AWD
BLACK,GRAY,Y,2,FLEET,15.487,1,41.477,13.0,5,4.156328806440607,79.07692307692308,SEDAN,8.1,31.0,N,FWD
GRAY,BLACK,N,1,PERSONAL,9.0,7,79.224,18.0,38,8.336902292535045,48.69230769230769,SEDAN,8.2,34.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,11.188,1,26.445,16.0,27,6.28802759768661,76.23076923076923,SEDAN,7.2,33.0,N,FWD
BLACK,BLACK,N,1,PERSONAL,12.007,1,31.933,14.0,14,3.9890632445645786,73.38461538461539,WAGON,8.5,28.5,N,FWD
SILVER,BLACK,N,1,PERSONAL,9.25,3,56.289,13.0,49,4.156328806440607,79.07692307692308,SEDAN,8.1,31.0,N,FWD
GRAY,BLACK,N,1,FLEET,14.764,1,39.566,16.0,49,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
WHITE,BLACK,N,1,PERSONAL,18.897,0,16.001,9.0,14,11.692583720044867,78.23076923076923,SEDAN,7.8,32.5,N,FWD
BLACK,BLACK,N,1,PERSONAL,17.473,1,45.609,10.0,14,13.832688602095642,71.61538461538461,SEDAN,8.2,26.0,N,AWD
SILVER,BLACK,N,1,PERSONAL,15.317,1,29.133,9.0,49,11.692583720044867,78.23076923076923,SEDAN,8.2,25.5,N,FWD
BLACK,BLACK,N,1,PERSONAL,7.8,1,61.944,16.0,19,6.28802759768661,76.23076923076923,SEDAN,6.9,35.0,N,FWD
WHITE,BEIGE,Y,1,PERSONAL,14.999,3,20.502,16.0,22,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,AWD
WHITE,BLACK,N,1,PERSONAL,16.499,1,40.675,16.0,49,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
SILVER,BLACK,N,1,PERSONAL,12.731,1,29.495,16.0,49,6.28802759768661,76.23076923076923,SEDAN,7.2,33.0,N,FWD
BLUE,BLACK,N,1,FLEET,12.995,1,10.707,16.0,34,6.28802759768661,76.23076923076923,SEDAN,7.2,33.0,N,FWD
BLACK,BLACK,N,1,PERSONAL,30.999,1,34.406,5.0,2,12.1872269830779,43.23076923076923,SUV,7.5,19.0,N,AWD
BLACK,GRAY,Y,1,PERSONAL,11.589,1,37.206,13.0,27,4.156328806440607,79.07692307692308,SEDAN,8.1,31.0,N,FWD
BLUE,GRAY,N,2,PERSONAL,21.888,3,40.803,22.0,49,2.208680273976825,57.92307692307692,SEDAN,7.9,28.5,Y,AWD
SILVER,GRAY,Y,1,PERSONAL,12.726,1,43.492,13.0,11,4.156328806440607,79.07692307692308,SEDAN,8.1,31.0,N,FWD
SILVER,OTHER,N,1,PERSONAL,14.988,0,17.173,5.0,3,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
BLACK,BLACK,N,1,PERSONAL,31.95,3,15.01,22.0,22,2.208680273976825,57.92307692307692,SUV,8.4,19.0,Y,AWD
WHITE,BLACK,N,1,PERSONAL,15.5,0,15.985,5.0,14,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
GRAY,GRAY,N,1,PERSONAL,14.857,1,33.485,10.0,9,13.832688602095642,71.61538461538461,SEDAN,8.2,26.0,N,FWD
WHITE,BLACK,Y,1,FLEET,30.798,1,9.127,5.0,26,12.1872269830779,43.23076923076923,SUV,7.5,19.0,N,AWD
GRAY,GRAY,N,1,FLEET,10.999,3,27.42,13.0,38,4.156328806440607,79.07692307692308,SEDAN,8.1,31.0,N,FWD
WHITE,BLACK,N,2,PERSONAL,5.092,11,114.348,5.0,26,12.1872269830779,43.23076923076923,SEDAN,8.7,35.0,N,FWD
GRAY,BLACK,N,1,PERSONAL,17.999,1,30.733,9.0,27,11.692583720044867,78.23076923076923,SEDAN,8.2,25.5,N,FWD
SILVER,GRAY,N,1,PERSONAL,6.995,10,98.75,5.0,52,12.1872269830779,43.23076923076923,SEDAN,7.9,32.0,N,FWD
RED,OTHER,N,2,FLEET,4.993,8,135.147,9.0,9,11.692583720044867,78.23076923076923,SEDAN,8.5,33.0,N,FWD
SILVER,BLACK,Y,1,PERSONAL,8.99,8,81.267,17.0,29,0.8766066421183164,65.53846153846153,SEDAN,7.4,28.0,Y,FWD
WHITE,BLACK,N,1,PERSONAL,12.599,1,40.054,14.0,49,3.9890632445645786,73.38461538461539,WAGON,8.5,28.5,N,FWD
SILVER,BLACK,N,1,FLEET,13.1,1,41.776,14.0,49,3.9890632445645786,73.38461538461539,SEDAN,8.4,28.5,N,FWD
WHITE,BLACK,N,1,PERSONAL,19.5,3,36.799,22.0,49,2.208680273976825,57.92307692307692,SEDAN,7.9,28.5,Y,AWD
