vin,make,model,pricecategory,price,city,state,colorexterior,colorinterior,accidenthist,owner,usage,discount,bodytype,ReliabilityRank,CostOfLivingRank,PercentSales,AvgDaysToTurn,ReviewScore,AvgMPG,LuxurySportsOrHybrid,drivetrain,age,odo
2C4RDGCG7KR694434,DODGE,GRAND CARAVAN,GREAT PRICE,16500.0,SOUTHERN PINES,NC,WHITE,BLACK,N,2,PERSONAL,Y,VAN/MINIVAN,25.0,22,2.126715603110482,98.53846153846152,6.8,21.0,N,FWD,1.0,36.141
2C4RDGCG5KR518661,DODGE,GRAND CARAVAN,EXCELLENT PRICE,14008.0,TAMPA,FL,SILVER,BLACK,N,1,PERSONAL,Y,VAN/MINIVAN,25.0,27,2.126715603110482,98.53846153846152,6.8,21.0,N,FWD,1.0,46.75
4T1B11HKXKU698173,TOYOTA,CAMRY,EXCELLENT PRICE,19848.0,VANCOUVER,WA,BLACK,GRAY,N,1,FLEET,Y,SEDAN,5.0,39,12.1872269830779,43.230769230769226,8.7,35.0,N,FWD,1.0,36.029
3N1AB7AP5HY218782,NISSAN,SENTRA,EXCELLENT PRICE,10499.0,BORDENTOWN,NJ,RED,BLACK,N,2,FLEET,Y,SEDAN,16.0,43,6.28802759768661,76.23076923076924,7.2,33.0,N,FWD,3.0,33.13
4JGDF6EE0HA961559,MERCEDES-BENZ,GLS,EXCELLENT PRICE,34643.531376481704,DAYTONA BEACH,FL,WHITE,BROWN,N,1,PERSONAL,Y,SUV,22.0,27,2.208680273976825,57.92307692307693,8.4,19.0,Y,FWD,3.0,44.5
1FTEW1EF5GKE50264,FORD,F150,EXCELLENT PRICE,24990.0,PUNTA GORDA,FL,WHITE,UNKNOWN,N,2,PERSONAL,Y,PICKUP,10.0,27,13.832688602095642,71.61538461538461,8.8,22.0,N,AWD,4.0,94.089
KNDJP3A55J7509893,KIA,SOUL,EXCELLENT PRICE,11441.0,LAS VEGAS,NV,BLACK,BLACK,N,1,FLEET,Y,WAGON,14.0,38,3.9890632445645786,73.38461538461539,8.5,28.5,N,FWD,2.0,55.129
5FNYF3H93CB040651,HONDA,PILOT,EXCELLENT PRICE,10345.0,PEMBROKE PINES,FL,SILVER,BLACK,N,1,PERSONAL,Y,SUV,18.0,27,8.336902292535045,48.69230769230769,7.8,23.0,N,FWD,8.0,146.105
1N4AL3APXFC482045,NISSAN,ALTIMA,EXCELLENT PRICE,8576.0,BALTIMORE,MD,BLACK,BLACK,Y,2,FLEET,Y,SEDAN,16.0,45,6.28802759768661,76.23076923076924,7.7,33.5,N,FWD,5.0,76.792
5YFEPRAE2LP110588,TOYOTA,COROLLA,GREAT PRICE,15995.0,ST FRANCISVILLE,LA,BLACK,BLACK,Y,1,PERSONAL,Y,SEDAN,5.0,18,12.1872269830779,43.230769230769226,7.9,32.0,N,FWD,0.0,2.696
